probe,Rval,bTau,Rs
p09,0.03,0.3954,0.55113391
p09,0.18,0.5097,0.69940355
p09,0.15,0.4252,0.59707906
p09,-0.07,0.2901,0.41193725
p09,-0.01,0.314,0.44575286
p09,0.17,0.3769,0.52619197
p09,0.05,0.3288,0.46426703
p09,-0.26,0.2022,0.29407208
p09,0.05,0.3536,0.49825549
p09,0.16,0.4387,0.60694022
p09,0.5,0.6216,0.80404496
p09,0.26,0.474,0.64746588
p09,0.22,0.5377,0.72728908
p09,0.14,0.4602,0.6316169
p09,0.35,0.4685,0.64016323
p09,0.28,0.5539,0.74149567
p09,0.31,0.5153,0.6993162
p15,-0.12,0.5267,0.7112288
p15,0.05,0.4617,0.63190825
p15,-0.03,0.5738,0.7648534
p15,0.01,0.5122,0.70098766
p15,-0.11,0.477,0.65495636
p15,-0.46,0.1119,0.17163934
p15,-0.08,0.4677,0.64210749
p15,0.06,0.6873,0.85625465
p15,-0.03,0.6301,0.80801701
p15,-0.15,0.463,0.646158
p15,-0.23,0.3442,0.51291026
p15,-0.02,0.594,0.71314386
p15,-0.01,0.4161,0.57052678
p15,0.02,0.5931,0.78253147
p15,-0.13,0.5165,0.71257203
p15,-0.08,0.5695,0.75507297
p15,-0.12,0.5363,0.74732764
p28,0.18,0.5145,0.69600137
p28,-0.01,0.299,0.42317759
p28,0.25,0.5834,0.77537147
p28,0.08,0.555,0.73169249
p28,0.08,0.5069,0.68809607
p28,0.44,0.5585,0.72297083
p28,0.17,0.7607,0.90228269
p28,0.02,0.437,0.60280819
p28,0.08,0.5453,0.73047425
p28,0.32,0.4976,0.66882615
p28,0.29,0.6773,0.84763838
p28,-0.03,0.3341,0.46649245
p28,0.18,0.5311,0.70823162
p28,0,0.4456,0.61716936
p28,0.1,0.465,0.6417024
p28,0.28,0.4304,0.59111833
p28,0.13,0.4951,0.66912555
p36,0.2,0.6304,0.81897251
p36,-0.1,0.3664,0.52514639
p36,0.35,0.5342,0.70995373
p36,-0.06,0.5118,0.7080507
p36,0.06,0.3214,0.44072671
p36,-0.04,0.4122,0.57660348
p36,0.07,0.4425,0.60537891
p36,-0.32,0.2791,0.40459666
p36,0.14,0.6422,0.82751342
p36,-0.21,0.55,0.76842284
p36,0.17,0.6491,0.83475511
p36,0.09,0.4939,0.66793455
p36,0.2,0.6067,0.79339455
p36,0.03,0.5755,0.76915821
p36,-0.02,0.429,0.58820762
p36,0.15,0.5058,0.67952303
p36,0.17,0.5105,0.68514359
