probe;Rval;tM1;tM2;bTau;Rs
p07;0.10;0.652;0.171;0.3655;0.48328142
p07;-0.23;0.485;0.110;0.3283;0.46115657
p07;0.17;0.675;0.174;0.3491;0.47093416
p07;0.00;0.639;0.367;0.3556;0.49237145
p07;0.37;0.501;0.131;0.3585;0.47199264
p07;0.32;0.733;0.441;0.3374;0.45280596
p07;0.52;0.815;0.467;0.3595;0.47557696
p07;-0.25;0.680;0.144;0.4190;0.57980694
p07;-0.14;0.597;0.236;0.4029;0.53865007
p07;-0.15;0.694;0.188;0.4254;0.57614768
p07;-0.24;0.651;0.109;0.4342;0.60097427
p07;0.05;0.629;0.527;0.3192;0.42358794
p07;-0.10;0.632;0.289;0.3452;0.46516902
p07;0.02;0.628;0.137;0.3652;0.49727429
p07;-0.64;0.134;0.109;0.2531;0.36374351
p07;-0.39;0.378;0.125;0.3183;0.45357357
p07;-0.03;0.708;0.172;0.4386;0.61141746
p07;-0.13;0.599;0.169;0.3410;0.47865217
p09;-0.22;0.636;0.425;0.3761;0.54612971
p09;-0.49;0.266;0.203;0.2901;0.42310962
p09;-0.06;0.734;0.525;0.3755;0.52561043
p09;-0.16;0.706;0.445;0.4266;0.60383984
p09;-0.07;0.001;1.000;0.1008;0.15049757
p09;0.08;0.746;0.916;0.4211;0.59475652
p09;-0.17;0.601;0.237;0.3434;0.47880116
p09;-0.21;0.728;0.254;0.3433;0.49083107
p09;-0.13;0.692;0.438;0.3395;0.47858566
p09;-0.21;0.602;0.272;0.3992;0.54296935
p09;-0.12;0.608;0.359;0.3086;0.43203898
p09;-0.34;0.661;0.180;0.4279;0.62090359
p09;-0.12;0.633;0.273;0.4633;0.63603085
p09;-0.08;0.544;0.301;0.3712;0.51832328
p09;-0.11;0.664;0.408;0.3411;0.47808160
p09;0.14;0.771;0.977;0.4098;0.56308298
p15;-0.25;0.487;0.377;0.3376;0.44265828
p15;-0.40;0.304;0.191;0.2317;0.29529832
p15;-0.57;0.107;0.135;0.1682;0.21319245
p15;-0.31;0.323;0.106;0.2208;0.27450205
p15;-0.39;0.242;0.242;0.2318;0.29896163
p15;-0.51;0.084;0.164;0.1699;0.22064714
p15;-0.51;0.105;0.151;0.2236;0.28942292
p15;-0.16;0.616;0.238;0.4033;0.51023446
p28;-0.24;1.000;0.010;0.0780;0.19294515
p28;-0.10;0.001;0.081;0.3818;0.50052086
p28;-0.71;0.07;0.067;0.4806;0.60687117
p28;-0.61;0.183;0.077;0.2562;0.32472005
p28;-0.43;0.231;0.026;0.4191;0.55573616
p28;-0.07;0.000;1.000;0.2920;0.42420342
p28;-0.10;0.003;0.072;0.4080;0.55814294
p28;-0.05;0.001;1.000;0.4493;0.59854891
p28;-0.19;0.000;1.000;0.0388;0.06956013
p28;-0.24;0.001;0.621;0.2894;0.39237484
p28;-0.61;0.215;0.071;0.4632;0.60192131
p28;-0.34;0.412;0.042;0.4401;0.54104330
p28;-0.52;0.959;0.047;0.5450;0.73144455
p28;-0.10;1.000;0.015;0.2137;0.33482504
p28;-0.10;1.000;0.013;0.3949;0.57800221
p28;-0.22;0.472;0.044;0.4861;0.65806591
p28;-0.40;0.882;0.033;0.4572;0.62862890
p28;-0.47;0.316;0.038;0.5542;0.68544220
p15;-0.21;0.381;0.074;0.2800;0.34776862
p15;-0.11;0.503;0.077;0.3071;0.38054452
p15;-0.04;0.643;0.115;0.4193;0.52598447
p15;-0.00;0.369;0.262;0.3145;0.41368020
p15;-0.18;0.615;0.208;0.3202;0.40412591
p15;-0.56;0.227;0.179;0.1807;0.23209664
p15;-0.45;0.364;0.231;0.2904;0.37478028
p15;-0.44;0.403;0.237;0.3357;0.43419654
